nodename,idname,imagename,filename,filenamemedium,filenamethumb,lakecode,lakename,magnification,notes,section,sitehole,submittedby,year,taxon,commonname,family,imageuitags,description,distinguishingfeatures,nodeuitags,lighttypename
"Ostracode","Arthropod","10-16 ostracode shell fragment xp.jpg","10-16_ostracode_shell_fragment_xp_JS.jpg","10-16_ostracode_shell_fragment_xp_JS-600.jpg","10-16_ostracode_shell_fragment_xp_JS-200s.jpg",\N,"NF-II-2",\N,"shell fragment in xp, ostracode ornamentation",\N,\N,"Joe Smoot",\N,\N,\N,\N,\N,\N,\N,\N,"Cross-Polarized Light"
"Diatomaceous carbonate mud","Lithofacies","1001_q4_01_cp.jpg","1001_q4_01_cp.jpg","1001_q4_01_cp-600.jpg","1001_q4_01_cp-200s.jpg","MCC","Lake McCarrons",\N,\N,\N,\N,\N,"2011",\N,\N,\N,"rhombic",\N,\N,\N,"Cross-Polarized Light"
"Diatomaceous carbonate mud","Lithofacies","1001_q4_01_pp.jpg","1001_q4_01_pp.jpg","1001_q4_01_pp-600.jpg","1001_q4_01_pp-200s.jpg","MCC","Lake McCarrons",\N,\N,\N,\N,\N,"2011",\N,\N,\N,"rhombic",\N,\N,\N,"Plane-Polarized Light"
"Organic-rich carbonate mud with pyrite","Lithofacies","1001_q6_01_cp.jpg","1001_q6_01_cp.jpg","1001_q6_01_cp-600.jpg","1001_q6_01_cp-200s.jpg","MCC","Lake McCarrons",\N,\N,\N,\N,\N,"2011",\N,\N,\N,\N,\N,\N,\N,"Cross-Polarized Light"
"Organic-rich carbonate mud with pyrite","Lithofacies","1001_q6_01_pp.jpg","1001_q6_01_pp.jpg","1001_q6_01_pp-600.jpg","1001_q6_01_pp-200s.jpg","MCC","Lake McCarrons",\N,\N,\N,\N,\N,"2011",\N,\N,\N,\N,\N,\N,\N,"Plane-Polarized Light"
"Calcareous silt","Lithofacies","1001_q7_02_cp.jpg","1001_q7_02_cp.jpg","1001_q7_02_cp-600.jpg","1001_q7_02_cp-200s.jpg","MCC","Lake McCarrons",\N,"with pyrite",\N,\N,\N,"2011",\N,\N,\N,\N,\N,\N,\N,"Cross-Polarized Light"
"Calcareous silt","Lithofacies","1001_q7_02_pp.jpg","1001_q7_02_pp.jpg","1001_q7_02_pp-600.jpg","1001_q7_02_pp-200s.jpg","MCC","Lake McCarrons",\N,"with pyrite",\N,\N,"Amy Myrbo","2011",\N,\N,\N,"pyrite",\N,\N,\N,"Plane-Polarized Light"
"Pollen","Plant","A2809tmi","A2809tmi.jpg","A2809tmi-600.jpg","A2809tmi-200s.jpg","lake","lake","40x",\N,\N,"1.0","cs","2012","Juglans nigra L.",\N,\N,\N,\N,\N,\N,"Plane-Polarized Light"
"Pollen","Plant","abies_balsamea_bodybladdergrade_jm_edit","abies_balsamea_bodybladdergrade_jm_edit.jpg","abies_balsamea_bodybladdergrade_jm_edit-600.jpg","abies_balsamea_bodybladdergrade_jm_edit-200s.jpg",\N,"Cushing Reference Collection",\N,"texture grade from body to bladder",\N,\N,"Jimmy Marty",\N,"Abies balsamea (L.) Mill.",\N,\N,\N,\N,\N,\N,"Plane-Polarized Light"
"Pollen","Plant","abies_balsamea_cap_jm_edit","abies_balsamea_cap_jm_edit.jpg","abies_balsamea_cap_jm_edit-600.jpg","abies_balsamea_cap_jm_edit-200s.jpg",\N,"Cushing Reference Collection",\N,"cap",\N,\N,"Jimmy Marty",\N,"Abies balsamea (L.) Mill.",\N,\N,\N,\N,\N,\N,"Plane-Polarized Light"
